"date","count","reporting"
2020-01-22,1,"Anhui"
2020-01-23,9,"Anhui"
2020-01-24,15,"Anhui"
2020-01-25,39,"Anhui"
2020-01-26,60,"Anhui"
2020-01-27,70,"Anhui"
2020-01-28,106,"Anhui"
2020-01-29,152,"Anhui"
2020-01-30,200,"Anhui"
2020-01-31,237,"Anhui"
2020-02-01,297,"Anhui"
2020-02-02,340,"Anhui"
2020-02-03,408,"Anhui"
2020-02-04,480,"Anhui"
2020-02-05,530,"Anhui"
2020-02-06,591,"Anhui"
2020-02-07,665,"Anhui"
2020-02-08,733,"Anhui"
2020-02-09,779,"Anhui"
2020-02-10,830,"Anhui"
2020-02-11,860,"Anhui"
2020-02-12,889,"Anhui"
2020-02-13,910,"Anhui"
2020-02-14,934,"Anhui"
2020-02-15,950,"Anhui"
2020-02-16,962,"Anhui"
2020-02-17,973,"Anhui"
2020-02-18,982,"Anhui"
2020-02-19,986,"Anhui"
2020-02-20,987,"Anhui"
2020-02-21,988,"Anhui"
2020-02-22,989,"Anhui"
2020-02-23,989,"Anhui"
2020-02-24,989,"Anhui"
2020-02-25,989,"Anhui"
2020-02-26,989,"Anhui"
2020-02-27,989,"Anhui"
2020-02-28,990,"Anhui"
2020-02-29,990,"Anhui"
2020-03-01,990,"Anhui"
2020-03-02,990,"Anhui"
2020-03-03,990,"Anhui"
2020-03-04,990,"Anhui"
2020-03-05,990,"Anhui"
2020-03-06,990,"Anhui"
2020-03-07,990,"Anhui"
2020-03-08,990,"Anhui"
2020-03-09,990,"Anhui"
2020-03-10,990,"Anhui"
2020-03-11,990,"Anhui"
2020-03-12,990,"Anhui"
2020-03-13,990,"Anhui"
2020-03-14,990,"Anhui"
2020-03-15,990,"Anhui"
2020-03-16,990,"Anhui"
2020-03-17,990,"Anhui"
2020-03-18,990,"Anhui"
2020-03-19,990,"Anhui"
2020-03-20,990,"Anhui"
2020-03-21,990,"Anhui"
2020-01-22,14,"Beijing"
2020-01-23,22,"Beijing"
2020-01-24,36,"Beijing"
2020-01-25,41,"Beijing"
2020-01-26,68,"Beijing"
2020-01-27,80,"Beijing"
2020-01-28,91,"Beijing"
2020-01-29,111,"Beijing"
2020-01-30,114,"Beijing"
2020-01-31,139,"Beijing"
2020-02-01,168,"Beijing"
2020-02-02,191,"Beijing"
2020-02-03,212,"Beijing"
2020-02-04,228,"Beijing"
2020-02-05,253,"Beijing"
2020-02-06,274,"Beijing"
2020-02-07,297,"Beijing"
2020-02-08,315,"Beijing"
2020-02-09,326,"Beijing"
2020-02-10,337,"Beijing"
2020-02-11,342,"Beijing"
2020-02-12,352,"Beijing"
2020-02-13,366,"Beijing"
2020-02-14,372,"Beijing"
2020-02-15,375,"Beijing"
2020-02-16,380,"Beijing"
2020-02-17,381,"Beijing"
2020-02-18,387,"Beijing"
2020-02-19,393,"Beijing"
2020-02-20,395,"Beijing"
2020-02-21,396,"Beijing"
2020-02-22,399,"Beijing"
2020-02-23,399,"Beijing"
2020-02-24,399,"Beijing"
2020-02-25,400,"Beijing"
2020-02-26,400,"Beijing"
2020-02-27,410,"Beijing"
2020-02-28,410,"Beijing"
2020-02-29,411,"Beijing"
2020-03-01,413,"Beijing"
2020-03-02,414,"Beijing"
2020-03-03,414,"Beijing"
2020-03-04,418,"Beijing"
2020-03-05,418,"Beijing"
2020-03-06,422,"Beijing"
2020-03-07,426,"Beijing"
2020-03-08,428,"Beijing"
2020-03-09,428,"Beijing"
2020-03-10,429,"Beijing"
2020-03-11,435,"Beijing"
2020-03-12,435,"Beijing"
2020-03-13,436,"Beijing"
2020-03-14,437,"Beijing"
2020-03-15,442,"Beijing"
2020-03-16,452,"Beijing"
2020-03-17,456,"Beijing"
2020-03-18,469,"Beijing"
2020-03-19,480,"Beijing"
2020-03-20,491,"Beijing"
2020-03-21,504,"Beijing"
